id_bacaan,waktu,ruang,suhu_celsius,kelembapan_persen,status_sensor
SNS0018,4 Agustus 2026 jam 13:00,LAB-KOMPUTER-1,29.1,,Nonaktif
SNS0051,2026-08-08 7:00,kelas xi rpl 3,24.8,64,Aktif
SNS0030,05/08/2026 15.00,XI-RPL-3,30.3,45,AKTIF
SNS0015,2026-08-04 11:00,Kelas Lab Komputer 2,26.6 derajat,62,nonaktif
SNS0038,2026-08-06 13:00,Kelas XI RPL 1,27.0C,59,nonaktif
SNS0008,2026-08-03 13:00,kelas xi rpl 3,25.0,65,Nonaktif
SNS0001,2026-08-03 7:00,XI-RPL-3,29.3,65,aktif
SNS0046,2026-08-07 11:00,Kelas XI RPL 3,29.0,45,aktif
SNS0031,2026-08-06 7:00,XI-RPL-3,31.6,,nonaktif
SNS0049,7 Agustus 2026 jam 15:00,kelas lab komputer 1,26.0,63,NONAKTIF
SNS0003,03/08/2026 09.00,Kelas XI RPL 2,30.0,70,NONAKTIF
SNS0035,2026-08-06 11:00,Kelas XI RPL 2,30.2,54,Aktif
SNS0016,2026-08-04 11:00,kelas xi rpl 3,30.4,67,aktif
SNS0049,7 Agustus 2026 jam 15:00,kelas lab komputer 1,26.0,63,NONAKTIF
SNS0053,2026-08-08 9:00,Kelas XI RPL 1,30.2,53,Nonaktif
SNS0005,03/08/2026 11.00,kelas xi rpl 3,29.5,68,Aktif
SNS0023,2026-08-05 9:00,Kelas XI RPL 3,,62,Aktif
SNS0063,2026-08-09 9:00,Kelas XI RPL 2,24.3C,61,Nonaktif
SNS0006,3 Agustus 2026 jam 11:00,XI-RPL-1,26.3 derajat,56,NONAKTIF
SNS0042,7 Agustus 2026 jam 07:00,Kelas Lab Komputer 2,31.3,57,Aktif
SNS0022,2026-08-05 7:00,Kelas XI RPL 3,90.0,73,Nonaktif
SNS0027,05/08/2026 13.00,kelas xi rpl 3,24.7C,45,Aktif
SNS0010,2026-08-03 15:00,Kelas Lab Komputer 1,29.9,69,
SNS0061,09/08/2026 07.00,LAB-KOMPUTER-1,29.9,72,Aktif
SNS0004,2026-08-03 9:00,Kelas XI RPL 1,31.2,58,Nonaktif
SNS0009,2026-08-03 15:00,XI-RPL-1,25.1,71,NONAKTIF
SNS0020,04/08/2026 15.00,Kelas Lab Komputer 2,26.3,49,Aktif
SNS0068,09/08/2026 13.00,XI-RPL-2,29.6,66,Nonaktif
SNS0037,6 Agustus 2026 jam 13:00,kelas lab komputer 2,29.2,61,nonaktif
SNS0069,2026-08-09 15:00,Kelas Lab Komputer 2,30.2C,64,Aktif
SNS0057,8 Agustus 2026 jam 13:00,XI-RPL-1,30.5,57,Aktif
SNS0014,2026-08-04 9:00,kelas xi rpl 1,25.0,53,Aktif
SNS0065,2026-08-09 11:00,Kelas Lab Komputer 2,29.1 derajat,48,
